Race;Name;Type;Mapping;String_Winner;String_Loser
Neutral;Boots of Speed;item;bspd;players_winner_items_summary_bspd;players_loser_items_summary_bspd
Neutral;Circlet of Nobility;item;cnob;players_winner_items_summary_cnob;players_loser_items_summary_cnob
Neutral;Dust of Appearance;item;dust;players_winner_items_summary_dust;players_loser_items_summary_dust
Neutral;Periapt of Vitality;item;prvt;players_winner_items_summary_prvt;players_loser_items_summary_prvt
Neutral;Potion of Invisibility ;item;pinv;players_winner_items_summary_pinv;players_loser_items_summary_pinv
Neutral;Potion of Lesser Invulnerability;item;pnvl;players_winner_items_summary_pnvl;players_loser_items_summary_pnvl
Neutral;Scroll of Healing;item;shea;players_winner_items_summary_shea;players_loser_items_summary_shea
Neutral;Scroll of Protection;item;spro;players_winner_items_summary_spro;players_loser_items_summary_spro
Neutral;Scroll of Town Portal;item;stwp;players_winner_items_summary_stwp;players_loser_items_summary_stwp
Neutral;Staff of Teleportation;item;stel;players_winner_items_summary_stel;players_loser_items_summary_stel
Neutral;Tome of Retraining;item;tret;players_winner_items_summary_tret;players_loser_items_summary_tret
